Label,Households,Margin or Error,Families_2018,Margin or Error,Married-couple families,Margin or Error,Non-family households,Margin or Error
"Less than $10,000",4.8,0.2,2.5,0.2,0.9,0.1,10,0.6
"$10,000 to $14,999",2.9,0.2,1.5,0.2,0.7,0.1,6,0.4
"$15,000 to $24,999",5.9,0.2,4,0.3,2.1,0.2,10.5,0.6
"$25,000 to $34,999",6,0.3,4.8,0.3,3.2,0.3,8.9,0.5
"$35,000 to $49,999",9.9,0.3,8.2,0.4,6.3,0.4,13.7,0.6
"$50,000 to $74,999",15.7,0.3,14.4,0.4,12.6,0.5,18.7,0.8
"$75,000 to $99,999",13.2,0.4,13.6,0.4,13.5,0.5,12,0.6
"$100,000 to $149,999",18.8,0.5,21.5,0.6,23.7,0.7,12.4,0.6
"$150,000 to $199,999",10.2,0.4,12.6,0.4,15.1,0.6,4.7,0.4
"$200,000 or more",12.5,0.3,16.8,0.5,21.8,0.6,3.2,0.3
Median income (dollars),83242,1022,101437,952,121022,1025,50776,751
Mean income (dollars),109774,1142,128918,1433,149645,1819,67067,1476
