Date Created,Grades,Year,Baltimore City,Allegany County,Anne Arundel County,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,St. Mary's County,Somerset County,Talbot County,Washington County,Wicomico County,Worcester County,Maryland
08/18/2018,6-8,2009,"16,544","2,019","16,579","22,366","3,916","1,155","6,330","3,648","6,199",998,"9,029",956,"8,860","11,666",459,"30,996","27,243","1,738","3,763",580,939,"5,042","2,947","1,415","185,387"
08/18/2018,9-12,2009,"24,152","2,796","23,005","31,952","5,764","1,660","9,425","5,053","9,253","1,380","12,895","1,416","12,136","16,698",668,"45,164","40,395","2,462","5,289",807,"1,459","6,478","4,132","2,189","266,628"
08/18/2018,K-5,2009,"37,458","3,878","33,493","45,423","6,973","2,409","11,680","6,919","10,462","2,036","17,240","1,817","16,738","21,316",933,"62,136","53,270","3,312","7,391","1,320","1,876","9,894","6,973","2,674","367,621"
08/18/2018,Pre-K,2009,"4,712",459,"1,699","3,585",353,327,286,585,865,214,995,122,902,961,124,"3,426","6,139",281,743,191,221,488,567,381,"28,626"
08/18/2018,6-8,2010,"16,659","1,952","16,782","22,574","3,847","1,126","6,138","3,592","6,121",979,"8,894",921,"8,669","11,484",466,"30,860","26,577","1,681","3,760",567,907,"5,059","2,998","1,455","184,068"
08/18/2018,9-12,2010,"24,311","2,710","22,724","31,609","5,672","1,590","9,225","4,895","9,185","1,360","12,726","1,372","12,167","16,656",639,"45,307","39,337","2,446","5,177",803,"1,415","6,591","4,002","2,136","264,055"
08/18/2018,K-5,2010,"37,956","3,854","34,305","46,364","6,891","2,458","11,700","6,860","10,686","2,040","17,584","1,797","16,776","21,851",930,"64,353","54,333","3,366","7,527","1,336","1,936","10,018","6,810","2,740","374,471"
08/18/2018,Pre-K,2010,"4,874",506,"1,670","3,613",385,343,271,590,858,268,984,122,782,"1,003",148,"3,503","6,424",288,807,214,246,538,572,368,"29,377"
08/18/2018,6-8,2011,"16,986","1,945","16,848","22,772","3,796","1,145","6,158","3,582","5,999",943,"8,943",935,"8,643","11,541",445,"31,276","26,118","1,692","3,697",566,935,"5,037","3,046","1,411","184,459"
08/18/2018,9-12,2011,"23,706","2,660","22,696","30,993","5,525","1,577","9,054","4,777","9,159","1,367","12,680","1,254","12,036","16,667",648,"45,232","37,272","2,412","5,220",744,"1,358","6,670","4,014","2,095","259,816"
08/18/2018,K-5,2011,"38,668","3,809","34,867","47,757","6,846","2,499","11,574","6,878","10,729","2,081","17,727","1,757","16,766","22,281",947,"66,324","54,948","3,405","7,831","1,371","1,986","10,048","6,806","2,748","380,653"
08/18/2018,Pre-K,2011,"4,852",499,"1,892","3,631",386,324,296,590,891,256,"1,063",131,779,"1,066",122,"3,627","5,495",252,701,201,268,485,654,389,"28,850"
